sncb_stream$start:UINT64,sncb_stream$end:UINT64,sncb_stream$varBP:FLOAT64,sncb_stream$varFF:FLOAT64,sncb_stream$cnt:UINT64
1722610200,1722620200,5.051,5.055,1892
1722610400,1722620400,5.055,5.055,1896
1722610600,1722620600,5.055,5.055,1882
1722610800,1722620800,5.058,5.055,1883
1722611000,1722621000,5.058,5.055,1896
1722611200,1722621200,5.058,5.055,1893
1722611600,1722621600,5.058,5.433,1894
1722611400,1722621400,5.058,5.047,1889
1722611800,1722621800,5.058,5.433,1891
1722612000,1722622000,5.058,5.433,1890
1722612200,1722622200,5.058,5.433,1892
1722612400,1722622400,5.058,5.433,1887
1722612600,1722622600,5.058,5.433,1859
1722612800,1722622800,5.058,5.433,1868
1722613000,1722623000,5.058,5.433,1882
1722613200,1722623200,5.058,5.433,1871
1722613400,1722623400,5.058,5.433,1883
1722613600,1722623600,5.058,5.433,1867
1722613800,1722623800,5.058,5.433,1856
1722614000,1722624000,5.058,5.433,1838
1722614200,1722624200,5.058,5.433,1856
1722614400,1722624400,5.058,5.433,1873
1722614600,1722624600,5.058,5.433,1878
1722614800,1722624800,5.058,5.433,1886
1722615000,1722625000,5.058,5.433,1877
1722615200,1722625200,5.058,5.433,1879
1722615400,1722625400,5.058,5.433,1853
1722615600,1722625600,5.058,5.433,1833
1722615800,1722625800,5.058,5.433,1809
1722616000,1722626000,5.058,5.433,1772
1722616400,1722626400,5.058,5.433,1683
1722616600,1722626600,5.058,5.433,1640
1722616800,1722626800,5.058,5.433,1583
1722616200,1722626200,5.058,5.433,1727
1722617200,1722627200,5.058,5.433,1504
1722617000,1722627000,5.058,5.433,1538
1722617600,1722627600,5.058,5.433,1415
1722617400,1722627400,5.058,5.433,1465
1722618000,1722628000,5.058,5.433,1323
1722617800,1722627800,5.058,5.433,1377
1722618200,1722628200,5.058,5.433,1284
1722618400,1722628400,5.058,5.433,1260
1722618600,1722628600,5.058,5.433,1217
1722618800,1722628800,5.058,5.433,1169
1722619200,1722629200,5.058,5.433,1068
1722619000,1722629000,5.058,5.433,1121
1722619600,1722629600,5.058,5.433,994
1722620200,1722630200,5.058,5.433,879
1722620400,1722630400,5.058,5.433,833
1722620600,1722630600,5.058,5.433,804
1722619800,1722629800,5.058,5.433,950
1722620000,1722630000,5.058,5.433,915
1722620800,1722630800,5.058,5.433,768
1722621200,1722631200,5.058,5.433,695
1722621600,1722631600,5.058,5.006,639
1722621000,1722631000,5.058,5.433,726
1722619400,1722629400,5.058,5.433,1026
1722622000,1722632000,5.058,5.006,563
1722622200,1722632200,5.058,5.006,526
1722622400,1722632400,5.058,5.006,499
1722622600,1722632600,5.058,5.006,490
1722621800,1722631800,5.058,5.006,599
